	chromosome_name	external_gene_name	description	gene_biotype
ABCA17P	16	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:32972]	transcribed_unitary_pseudogene
ABCA2	9	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	protein_coding
ABCA3	16	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	protein_coding
ABCA4	1	ABCA4	ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]	protein_coding
ABCA5	17	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	protein_coding
ABCA6	17	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	protein_coding
ABCA7	19	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	protein_coding
ABCA8	17	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	protein_coding
ABCA9	17	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	protein_coding
ABCB1	7	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	protein_coding
ABCB10	1	ABCB10	ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]	protein_coding
ABCB11	2	ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	protein_coding
ABCB4	7	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	protein_coding
ABCB5	7	ABCB5	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	protein_coding
ABCB6	2	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	protein_coding
ABCB7	X	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	protein_coding
ABCB8	7	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	protein_coding
ABCB9	12	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	protein_coding
ABCC1	16	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	protein_coding
ABCC10	6	ABCC10	ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]	protein_coding
ABCC11	16	ABCC11	ATP binding cassette subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:14639]	protein_coding
ABCC12	16	ABCC12	ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]	protein_coding
ABCC2	10	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	protein_coding
ABCC3	17	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	protein_coding
ABCC4	13	ABCC4	ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]	protein_coding
ABCC5	3	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	protein_coding
ABCC6	16	ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	protein_coding
ABCC8	11	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	protein_coding
ABCC9	12	ABCC9	ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]	protein_coding
ABCD1	X	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	protein_coding
ABCD2	12	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	protein_coding
ABCD3	1	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	protein_coding
ABCD4	14	ABCD4	ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]	protein_coding
ABCE1	4	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	protein_coding
ABCF1	6	ABCF1	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	protein_coding
ABCF2	7	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]	protein_coding
ABCF3	3	ABCF3	ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]	protein_coding
ABCG1	21	ABCG1	ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]	protein_coding
ABCG2	4	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	protein_coding
ABCG4	11	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	protein_coding
ABCG5	2	ABCG5	ATP binding cassette subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:13886]	protein_coding
ABCG8	2	ABCG8	ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887]	protein_coding
ABHD1	2	ABHD1	abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]	protein_coding
ABHD10	3	ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	protein_coding
ABHD11	7	ABHD11	abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]	protein_coding
ABHD12	20	ABHD12	abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]	protein_coding
ABHD12B	14	ABHD12B	abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837]	protein_coding
ABHD13	13	ABHD13	abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293]	protein_coding
ABHD14A	3	ABHD14A	abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538]	protein_coding
ABHD14B	3	ABHD14B	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]	protein_coding
ABHD15	17	ABHD15	abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971]	protein_coding
ABHD16A	6	ABHD16A	abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]	protein_coding
ABHD16B	20	ABHD16B	abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128]	protein_coding
ABHD2	15	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	protein_coding
ABHD3	18	ABHD3	abhydrolase domain containing 3, phospholipase [Source:HGNC Symbol;Acc:HGNC:18718]	protein_coding
ABHD4	14	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	protein_coding
ABHD5	3	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]	protein_coding
ABHD6	3	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	protein_coding
ABHD8	19	ABHD8	abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]	protein_coding
ABI1	10	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	protein_coding
ABI2	2	ABI2	abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]	protein_coding
ABI3	17	ABI3	ABI family member 3 [Source:HGNC Symbol;Acc:HGNC:29859]	protein_coding
ABI3BP	3	ABI3BP	ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]	protein_coding
ABL1	9	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	protein_coding
ABL2	1	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	protein_coding
ABLIM1	10	ABLIM1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	protein_coding
ABLIM2	4	ABLIM2	actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]	protein_coding
ABLIM3	5	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	protein_coding
ABO	9	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]	protein_coding
ABR	17	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	protein_coding
ABRA	8	ABRA	actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655]	protein_coding
ABT1	6	ABT1	activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]	protein_coding
ABTB1	3	ABTB1	ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]	protein_coding
ABTB2	11	ABTB2	ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]	protein_coding
ACAA1	3	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	protein_coding
ACAA2	18	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	protein_coding
ACACA	17	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	protein_coding
ACACB	12	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	protein_coding
ACAD10	12	ACAD10	acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]	protein_coding
ACAD8	11	ACAD8	acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]	protein_coding
ACAD9	3	ACAD9	acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]	protein_coding
ACADL	2	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	protein_coding
ACADM	1	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	protein_coding
ACADS	12	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	protein_coding
ACADSB	10	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	protein_coding
ACADVL	17	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	protein_coding
ACAN	15	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	protein_coding
ACAP1	17	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]	protein_coding
ACAP2	3	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]	protein_coding
ACAP3	1	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	protein_coding
ACAT1	11	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	protein_coding
ACAT2	6	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	protein_coding
ACBD3	1	ACBD3	acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]	protein_coding
ACBD4	17	ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	protein_coding
ACBD5	10	ACBD5	acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]	protein_coding
ACBD6	1	ACBD6	acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]	protein_coding
ACBD7	10	ACBD7	acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715]	protein_coding
ASIC2	17	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	protein_coding
ASIC1	12	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	protein_coding
ASIC3	7	ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	protein_coding
ASIC5	4	ASIC5	acid sensing ion channel subunit family member 5 [Source:HGNC Symbol;Acc:HGNC:17537]	protein_coding
ACCS	11	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]	protein_coding
ACCSL	11	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like [Source:HGNC Symbol;Acc:HGNC:34391]	protein_coding
ACD	16	ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	protein_coding
ACE	17	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	protein_coding
ACE2	X	ACE2	angiotensin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	protein_coding
ACER1	19	ACER1	alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356]	protein_coding
ACER2	9	ACER2	alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675]	protein_coding
ACER3	11	ACER3	alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]	protein_coding
ACHE	7	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	protein_coding
ACIN1	14	ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	protein_coding
ACLY	17	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	protein_coding
ACMSD	2	ACMSD	aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288]	protein_coding
ACO1	9	ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	protein_coding
ACO2	22	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	protein_coding
ACOT11	1	ACOT11	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]	protein_coding
ACOT12	5	ACOT12	acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]	protein_coding
ACOT13	6	ACOT13	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	protein_coding
ACOT2	14	ACOT2	acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]	protein_coding
ACOT4	14	ACOT4	acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]	protein_coding
ACOT6	14	ACOT6	acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159]	protein_coding
ACOT7	1	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	protein_coding
ACOT8	20	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	protein_coding
ACOT9	X	ACOT9	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	protein_coding
ACOX1	17	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	protein_coding
ACOX2	3	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	protein_coding
ACOX3	4	ACOX3	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	protein_coding
ACOXL	2	ACOXL	acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]	protein_coding
ACP1	2	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	protein_coding
ACP2	11	ACP2	acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]	protein_coding
ACP5	19	ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	protein_coding
ACP6	1	ACP6	acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]	protein_coding
ACR	22	ACR	acrosin [Source:HGNC Symbol;Acc:HGNC:126]	protein_coding
ACRBP	12	ACRBP	acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]	protein_coding
ACRV1	11	ACRV1	acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]	protein_coding
ACSBG1	15	ACSBG1	acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]	protein_coding
ACSBG2	19	ACSBG2	acyl-CoA synthetase bubblegum family member 2 [Source:HGNC Symbol;Acc:HGNC:24174]	protein_coding
ACSF2	17	ACSF2	acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]	protein_coding
ACSF3	16	ACSF3	acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]	protein_coding
ACSL1	4	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	protein_coding
ACSL3	2	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	protein_coding
ACSL4	X	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	protein_coding
ACSL5	10	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	protein_coding
ACSL6	5	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	protein_coding
ACSM1	16	ACSM1	acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049]	protein_coding
ACSM2A	16	ACSM2A	acyl-CoA synthetase medium chain family member 2A [Source:HGNC Symbol;Acc:HGNC:32017]	protein_coding
ACSM2B	16	ACSM2B	acyl-CoA synthetase medium chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931]	protein_coding
ACSM3	16	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	protein_coding
ACSM4	12	ACSM4	acyl-CoA synthetase medium chain family member 4 [Source:HGNC Symbol;Acc:HGNC:32016]	protein_coding
ACSM5	16	ACSM5	acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]	protein_coding
ACSS2	20	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	protein_coding
ACSS3	12	ACSS3	acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]	protein_coding
ACTA1	1	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	protein_coding
ACTA2	10	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	protein_coding
ACTB	7	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	protein_coding
ACTBL2	5	ACTBL2	actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780]	protein_coding
ACTC1	15	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	protein_coding
ACTG1	17	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	protein_coding
ACTG2	2	ACTG2	actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]	protein_coding
ACTL10	20	ACTL10	actin like 10 [Source:HGNC Symbol;Acc:HGNC:16127]	protein_coding
ACTL6A	3	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	protein_coding
ACTL6B	7	ACTL6B	actin like 6B [Source:HGNC Symbol;Acc:HGNC:160]	protein_coding
ACTL7A	9	ACTL7A	actin like 7A [Source:HGNC Symbol;Acc:HGNC:161]	protein_coding
ACTL7B	9	ACTL7B	actin like 7B [Source:HGNC Symbol;Acc:HGNC:162]	protein_coding
ACTL8	1	ACTL8	actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]	protein_coding
ACTL9	19	ACTL9	actin like 9 [Source:HGNC Symbol;Acc:HGNC:28494]	protein_coding
ACTN1	14	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	protein_coding
ACTN2	1	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	protein_coding
ACTN3	11	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	protein_coding
ACTN4	19	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	protein_coding
ACTR10	14	ACTR10	actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]	protein_coding
ACTR1A	10	ACTR1A	actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]	protein_coding
ACTR1B	2	ACTR1B	actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]	protein_coding
ACTR2	2	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	protein_coding
ACTR3	2	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	protein_coding
ACTR3B	7	ACTR3B	actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]	protein_coding
ACTR3BP2	2	ACTR3BP2	ACTR3B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38677]	processed_pseudogene
ACTR3C	7	ACTR3C	actin related protein 3C [Source:HGNC Symbol;Acc:HGNC:37282]	protein_coding
ACTR5	20	ACTR5	actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]	protein_coding
ACTR6	12	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	protein_coding
ACTR8	3	ACTR8	actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]	protein_coding
ACTRT1	X	ACTRT1	actin related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027]	protein_coding
ACTRT2	1	ACTRT2	actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]	protein_coding
ACVR1	2	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	protein_coding
ACVR1B	12	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	protein_coding
ACVR1C	2	ACVR1C	activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]	protein_coding
ACVR2A	2	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	protein_coding
ACVR2B	3	ACVR2B	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]	protein_coding
ACVRL1	12	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	protein_coding
ACY1	3	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	protein_coding
ACY3	11	ACY3	aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]	protein_coding
ACYP1	14	ACYP1	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	protein_coding
ACYP2	2	ACYP2	acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]	protein_coding
ADA	20	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	protein_coding
ADAD1	4	ADAD1	adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]	protein_coding
ADAD2	16	ADAD2	adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]	protein_coding
ADAL	15	ADAL	adenosine deaminase like [Source:HGNC Symbol;Acc:HGNC:31853]	protein_coding
